EPISODE_NUMBER,LAYER_1,LAYER_2,LAYER_3,LAYER_4,ACCURACY,LOSS,MODEL_MATCHED
episode_313,c_6,m_3,c_8,s,0.7381,0.7739884102,model_1670
episode_314,c_7,c_6,c_8,c_4,0.7439,0.7642378508,model_802
episode_315,c_10,c_3,m_1,c_4,0.7258,0.8116781203,model_1122
episode_316,c_3,c_10,c_12,c_5,0.7364,0.7971936856,model_476
episode_317,c_9,m_1,c_2,c_11,0.7628,0.7463556301,model_1922
episode_318,c_3,c_4,c_7,c_11,0.7025,0.9002514707,model_1735
episode_319,c_7,c_8,c_9,m_2,0.7443,0.7764315757,model_522
episode_320,c_11,c_4,c_10,c_4,0.7177,0.816777302,model_1091
episode_321,c_8,c_7,c_9,c_1,0.7346,0.7709338329,model_169
episode_322,c_4,c_5,c_6,c_5,0.7202,0.839460664,model_1558
episode_323,c_1,m_2,c_12,c_8,0.7591,0.7216202808,model_1347
episode_324,c_8,c_10,c_4,c_11,0.7327,0.8007753844,model_26
episode_325,c_7,m_2,c_1,c_9,0.7313,0.8015811863,model_950
episode_326,c_10,m_2,c_8,c_9,0.7527,0.7594591007,model_1386
episode_327,c_5,c_12,c_7,m_2,0.7215,0.8220334564,model_928
episode_328,c_3,c_1,c_11,m_2,0.7281,0.8139685349,model_1351
episode_329,c_4,c_2,c_4,c_5,0.7106,0.8414449438,model_1888
episode_330,c_10,c_9,c_12,m_1,0.7552,0.7580002848,model_200
episode_331,c_8,m_3,c_11,c_6,0.7635,0.7100142729,model_310
episode_332,c_5,c_5,c_10,c_4,0.7469,0.7531257272,model_370
episode_333,c_1,c_3,m_1,c_6,0.7446,0.7539696799,model_316
episode_334,c_8,c_4,s,-,0.6848,0.9017666427,model_46
episode_334,c_8,c_4,s,-,0.7012,0.8856213157,model_1923
episode_335,c_12,c_7,s,-,0.6822,0.9580085474,model_943
episode_335,c_12,c_7,s,-,0.6914,0.9043684228,model_1600
episode_336,c_3,c_2,m_3,c_6,0.7307,0.7829747208,model_640
episode_337,c_5,c_9,m_1,m_3,0.7326,0.7769136852,model_424
episode_338,c_6,c_12,c_10,c_1,0.7263,0.8209459283,model_253
episode_339,c_4,c_5,c_6,c_5,0.7202,0.839460664,model_1558
episode_340,c_12,c_9,c_9,c_8,0.7626,0.7414946794,model_1886
episode_341,c_1,c_8,c_9,c_5,0.7197,0.8580887468,model_425
episode_342,c_11,m_3,s,-,0.7069,0.8464536988,model_1148
episode_343,c_10,c_11,c_4,m_1,0.7364,0.7837012073,model_1825
episode_344,c_5,m_2,c_7,c_11,0.7451,0.7801181187,model_1640
episode_345,c_3,c_1,m_2,c_6,0.7395,0.8050931557,model_1336
