EPISODE_NUMBER,LAYER_1,LAYER_2,LAYER_3,LAYER_4,ACCURACY,LOSS,MODEL_MATCHED
episode_220,c_2,c_5,c_4,c_3,0.7176,0.8333778988,model_1034
episode_221,c_5,c_4,c_10,c_12,0.7481,0.7525218474,model_1027
episode_222,c_3,c_3,c_10,c_9,0.7396,0.7805715912,model_1676
episode_223,c_4,c_7,c_3,c_6,0.7371,0.7863302718,model_2
episode_223,c_4,c_7,c_3,c_6,0.7288,0.8192272733,model_1155
episode_224,c_12,c_3,c_5,c_8,0.7476,0.7550336497,model_206
episode_225,c_1,c_1,c_6,c_7,0.6963,0.9306928176,model_2040
episode_226,c_12,c_8,m_1,m_3,0.7363,0.7700016438,model_1850
episode_227,c_10,c_12,c_2,c_7,0.7501,0.7609769917,model_1355
episode_228,c_1,c_5,c_12,c_6,0.7439,0.7546769404,model_519
episode_229,c_5,m_2,c_5,m_3,0.7327,0.7943757248,model_228
episode_230,c_10,c_3,c_4,c_9,0.701,0.8698536365,model_375
episode_231,c_5,c_3,c_9,c_8,0.7236,0.8403343574,model_1228
episode_232,c_10,c_4,c_3,m_3,0.7111,0.8283148057,model_706
episode_233,c_8,c_7,c_6,c_12,0.7285,0.8525561927,model_2010
episode_234,m_2,c_8,m_3,s,0.6891,0.897268104,model_1863
episode_235,c_10,c_5,m_2,s,0.7171,0.8623568889,model_198
episode_236,c_2,c_5,c_2,c_2,0.7248,0.8193752006,model_1682
episode_237,c_7,c_9,c_4,c_10,0.6996,1.0208803638,model_289
episode_238,c_8,c_6,m_2,c_4,0.7173,0.8443778829,model_949
episode_239,c_11,m_3,m_2,c_5,0.7012,0.8634085464,model_30
episode_240,c_12,c_12,c_7,c_7,0.7405,0.7711323669,model_1066
episode_241,c_10,m_3,c_7,c_3,0.7627,0.7215586305,model_1203
episode_242,c_6,c_9,c_2,c_8,0.7323,0.8101150307,model_1535
episode_243,c_7,m_2,c_1,c_9,0.7313,0.8015811863,model_950
episode_244,c_5,c_11,m_2,c_9,0.773,0.6703214809,model_1788
episode_245,c_8,c_7,c_11,s,0.677,0.9587247545,model_910
episode_246,c_4,c_12,c_4,c_4,0.7282,0.8327663187,model_1397
episode_247,c_1,c_6,c_11,c_9,0.7541,0.7401165671,model_190
episode_248,c_5,c_11,c_11,c_4,0.7327,0.8042854309,model_127
episode_248,c_5,c_11,c_11,c_4,0.6983,0.8822168702,model_1491
episode_249,c_6,c_3,c_10,c_4,0.7339,0.8054866842,model_1806
episode_250,c_1,c_5,c_7,m_3,0.7419,0.7531944425,model_1445
episode_251,m_2,m_3,c_10,c_4,0.6055,1.1048950537,model_563
episode_252,c_7,c_4,c_5,c_8,0.7342,0.7858336545,model_935
episode_253,c_8,c_7,c_5,c_12,0.7191,0.8306212075,model_792
episode_254,c_5,c_12,c_8,c_6,0.7355,0.7691480504,model_1627
episode_255,c_2,c_5,c_10,c_12,0.7173,0.8455085829,model_1799
episode_256,c_12,c_9,c_9,c_8,0.7626,0.7414946794,model_1886
episode_257,c_8,m_1,c_10,c_1,0.7441,0.7423926428,model_1844
episode_258,c_1,m_1,m_2,m_2,0.6908,0.9568412893,model_831
episode_259,c_12,c_3,c_7,m_1,0.7288,0.7947791016,model_1700
episode_260,c_11,c_6,c_11,c_6,0.7592,0.7275649897,model_981
episode_261,c_5,c_10,c_10,c_5,0.6959,0.9025020225,model_1160
episode_262,c_11,c_1,c_11,c_5,0.741,0.7737423454,model_103
episode_263,c_4,c_6,c_9,c_10,0.7343,0.7826547118,model_1669
episode_264,c_3,c_6,c_1,m_2,0.6813,0.9156428357,model_334
